540.0 	3.834 	2.299 	2.350 	2.893 	4.217 	2.444 	2.498 	3.122 	4.617 	2.591 	2.647 	3.357
550.0 	3.873 	2.308 	2.364 	2.914 	4.262 	2.454 	2.514 	3.146 	4.669 	2.603 	2.666 	3.384
560.0 	3.911 	2.317 	2.379 	2.936 	4.307 	2.465 	2.531 	3.171 	4.722 	2.615 	2.684 	3.412
580.0 	3.989 	2.336 	2.409 	2.978 	4.399 	2.486 	2.565 	3.220 	4.828 	2.639 	2.722 	3.468
600.0 	4.068 	2.355 	2.440 	3.022 	4.491 	2.507 	2.599 	3.269 	4.935 	2.662 	2.761 	3.524
620.0 	4.148 	2.373 	2.471 	3.065 	4.585 	2.528 	2.634 	3.319 	5.044 	2.686 	2.800 	3.581
640.0 	4.229 	2.392 	2.503 	3.109 	4.680 	2.549 	2.670 	3.370 	5.154 	2.710 	2.840 	3.639
650.0 	4.269 	2.401 	2.520 	3.132 	4.728 	2.560 	2.689 	3.396 	5.210 	2.722 	2.860 	3.668
660.0 	4.311 	2.411 	2.536 	3.154 	4.777 	2.571 	2.707 	3.421 	5.266 	2.734 	2.881 	3.697
680.0 	4.393 	2.429 	2.569 	3.199 	4.874 	2.592 	2.745 	3.473 	5.380 	2.758 	2.923 	3.757
700.0 	4.477 	2.448 	2.603 	3.245 	4.973 	2.614 	2.783 	3.526 	5.496 	2.782 	2.966 	3.817
720.0 	4.563 	2.468 	2.638 	3.291 	5.074 	2.635 	2.822 	3.580 	5.613 	2.806 	3.010 	3.878
740.0 	4.649 	2.487 	2.674 	3.338 	5.176 	2.657 	2.863 	3.634 	5.733 	2.831 	3.055 	3.939
750.0 	4.693 	2.496 	2.692 	3.362 	5.228 	2.668 	2.883 	3.661 	5.793 	2.843 	3.077 	3.971
760.0 	4.737 	2.506 	2.710 	3.386 	5.280 	2.679 	2.904 	3.689 	5.854 	2.855 	3.100 	4.002
780.0 	4.826 	2.526 	2.747 	3.434 	5.385 	2.701 	2.945 	3.744 	5.977 	2.880 	3.147 	4.066
800.0 	4.916 	2.545 	2.785 	3.483 	5.492 	2.724 	2.988 	3.801 	6.103 	2.905 	3.195 	4.130
820.0 	5.007 	2.565 	2.823 	3.532 	5.601 	2.746 	3.032 	3.858 	6.230 	2.931 	3.244 	4.196
840.0 	5.100 	2.586 	2.863 	3.582 	5.712 	2.769 	3.077 	3.916 	6.360 	2.957 	3.295 	4.262
850.0 	5.147 	2.596 	2.883 	3.608 	5.768 	2.781 	3.100 	3.946 	6.426 	2.969 	3.320 	4.296
860.0 	5.195 	2.606 	2.903 	3.633 	5.824 	2.792 	3.123 	3.975 	6.492 	2.983 	3.346 	4.330
880.0 	5.291 	2.627 	2.945 	3.685 	5.938 	2.816 	3.169 	4.035 	6.626 	3.009 	3.399 	4.399
900.0 	5.388 	2.648 	2.987 	3.737 	6.054 	2.839 	3.217 	4.096 	6.763 	3.035 	3.452 	4.469
920.0 	5.487 	2.669 	3.030 	3.791 	6.173 	2.863 	3.266 	4.158 	6.902 	3.062 	3.507 	4.540
940.0 	5.588 	2.690 	3.074 	3.845 	6.293 	2.888 	3.316 	4.221 	7.044 	3.090 	3.564 	4.612
950.0 	5.639 	2.701 	3.096 	3.872 	6.354 	2.900 	3.342 	4.253 	7.116 	3.104 	3.593 	4.649
960.0 	5.690 	2.712 	3.119 	3.900 	6.415 	2.913 	3.368 	4.285 	7.189 	3.118 	3.622 	4.685
980.0 	5.794 	2.734 	3.165 	3.955 	6.540 	2.938 	3.420 	4.350 	7.336 	3.146 	3.681 	4.760
1000.0 	5.900 	2.757 	3.212 	4.012 	6.667 	2.963 	3.474 	4.416 	7.486 	3.174 	3.741 	4.836 
